FID,Landuse,Value
1,MFR,475000
2,MFR,675000
3,MFR,230000
4,SFR,125000
5,MFR,325000
6,MFR,620000
7,SFR,125000
8,SFR,125000
9,SFR,125000
10,SFR,125000
11,SFR,125000
12,SFR,125000
13,SFR,125000
14,SFR,125000
15,SFR,125000
16,SFR,115000
17,SFR,125000
18,SFR,125000
19,SFR,125000
20,SFR,125000
21,SFR,125000
22,SFR,125000
23,SFR,125000
24,SFR,125000
25,SFR,125000
26,SFR,125000
27,SFR,125000
28,SFR,125000
29,SFR,125000
30,SFR,125000
31,SFR,125000
32,SFR,125000
33,SFR,125000
34,SFR,125000
35,SFR,125000
36,SFR,125000
37,SFR,125000
38,SFR,125000
39,SFR,125000
40,SFR,125000
41,SFR,125000
42,SFR,125000
43,SFR,125000
44,SFR,170000
45,SFR,125000
46,SFR,125000
47,SFR,125000
48,SFR,125000
49,SFR,125000
50,SFR,125000
51,SFR,125000
52,SFR,125000
53,SFR,125000
54,SFR,125000
55,SFR,165000
56,SFR,125000
57,SFR,135000
58,SFR,125000
59,SFR,125000
60,SFR,125000
61,SFR,125000
62,SFR,125000
63,SFR,125000
64,SFR,125000
65,SFR,125000
66,SFR,125000
67,SFR,125000
68,SFR,125000
69,SFR,125000
70,SFR,125000
71,SFR,125000
72,SFR,125000
73,SFR,125000
74,SFR,125000
75,SFR,125000
76,SFR,125000
77,SFR,125000
78,SFR,125000
79,SFR,115000
80,SFR,125000
81,SFR,125000
82,SFR,125000
83,SFR,125000
84,SFR,125000
85,SFR,125000
86,SFR,125000
87,SFR,125000
88,SFR,125000
89,SFR,125000
90,SFR,125000
91,SFR,125000
92,SFR,125000
93,SFR,125000
94,SFR,125000
95,SFR,125000
96,SFR,125000
97,SFR,125000
98,SFR,125000
99,SFR,125000
100,SFR,125000
101,SFR,125000
102,SFR,125000
103,SFR,125000
104,SFR,125000
105,SFR,140000
106,SFR,125000
107,SFR,125000
108,SFR,125000
109,SFR,125000
110,SFR,145000
111,SFR,125000
112,SFR,125000
113,SFR,125000
114,SFR,125000
115,SFR,125000
116,SFR,125000
117,SFR,125000
118,SFR,125000
