name,population,median_income,state_code
Alabama,4997675,54943,01
Alaska,735951,80287,02
Arizona,7079203,65913,04
Arkansas,3006309,52123,05
California,39455353,84097,06
Colorado,5723176,80184,08
Connecticut,3605330,83572,09
Delaware,981892,72724,10
District of Columbia,683154,93547,11
Florida,21339762,61777,12
Georgia,10625615,65030,13
Hawaii,1453498,88005,15
Idaho,1811617,63377,16
Illinois,12821813,72563,17
Indiana,6751340,61944,18
Iowa,3179090,65429,19
Kansas,2932099,64521,20
Kentucky,4494141,55454,21
Louisiana,4657305,53571,22
Maine,1357046,63182,23
Maryland,6148545,91431,24
Massachusetts,6991852,89026,25
Michigan,10062512,63202,26
Minnesota,5670472,77706,27
Mississippi,2967023,49111,28
Missouri,6141534,61043,29
Montana,1077978,60560,30
Nebraska,1951480,66644,31
Nevada,3059238,65686,32
New Hampshire,1372175,83449,33
New Jersey,9234024,89703,34
New Mexico,2109366,54020,35
New York,20114745,75157,36
North Carolina,10367022,60516,37
North Dakota,773344,68131,38
Ohio,11769923,61938,39
Oklahoma,3948136,56956,40
Oregon,4207177,70084,41
Pennsylvania,12970650,67587,42
Rhode Island,1091949,74489,44
South Carolina,5078903,58234,45
South Dakota,881785,63920,46
Tennessee,6859497,58516,47
Texas,28862581,67321,48
Utah,3231370,79133,49
Vermont,641637,67674,50
Virginia,8582479,80615,51
Washington,7617364,82400,53
West Virginia,1801049,50884,54
Wisconsin,5871661,67080,55
Wyoming,576641,68002,56
Puerto Rico,3311274,21967,72
